dt_created,dt_updated,dt_filename,advertiser_id,country_name,insertion_order_name,insertion_order_id,unique_reach_total_reach,unique_reach_click_reach,unique_reach_impression_reach,impressions,unique_reach_average_impression_frequency,fetch_date
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1017953457,492380,18390,492380,2971050,6.03,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018686212,649879,19040,649853,2822303,4.34,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1017940832,542247,9369,539032,2091258,3.88,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018730568,665732,13494,665732,2370359,3.56,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018102699,2000653,19122,2000219,4215534,2.11,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018100737,5139908,99171,5139541,14075919,2.74,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1019113651,973528,436,973490,3499182,3.59,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1017750030,1100482,11912,1100258,2418991,2.2,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1017779040,1661362,14128,1661294,3197221,1.92,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018756985,902915,402,902915,2863649,3.17,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018689428,1695887,59247,1695887,7738327,4.56,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018781675,157374,2005,157281,527057,3.35,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1018745339,492333,11116,492323,1432249,2.91,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1019057854,757310,271,757310,2000504,2.64,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1017743837,2419761,26743,2419230,4304155,1.78,27-11-2024
2024-11-27T02:09:46.830000,2024-11-27T02:09:54.887000,ad.csv,0,IN,adsdd,1017743000,703728,3102,702365,1206106,1.72,27-11-2024
